X,Y,Z
0.8893,0.2968,0.5116
0.4801,0.6827,0.8092
0.2293,0.6530,0.3444
0.3913,0.6012,0.2522
0.9942,0.0090,0.8974
0.2420,0.8398,0.6930
0.1748,0.0231,0.6288
0.5874,0.5790,0.3135
0.0668,0.4274,0.8780
0.1776,0.2525,0.4774
0.6103,0.6398,0.4103
0.4282,0.7808,0.6442
0.6387,0.9289,0.0569
0.2011,0.1528,0.2768
0.0708,0.1354,0.5992
0.4111,0.5226,0.3466
0.7447,0.0648,0.5425
0.5814,0.4941,0.5756
0.5008,0.5411,0.6927
0.0489,0.7382,0.9126
0.3752,0.9184,0.4658
0.2728,0.7599,0.5174
0.0666,0.2752,0.5016
0.6390,0.4045,0.5422
0.9242,0.4028,0.3858
