####
# Wall Drawing matplotlib drawings/86_001_2.0m_5.0m_10000.png
#
# User input was Height(m): 2.0, Width(m): 5.0, Number of lines: 10000
#
#
x, y, degrees
0.3332, 1.6856, 7.95
1.9051, 1.7721, 130.97
3.7076, 1.7078, 162.79
4.3163, 0.7475, 180.64
3.0914, 1.4342, 86.31
0.5513, 1.1791, 134.75
2.1897, 0.3163, 207.36
1.6191, 0.1451, 210.13
2.9715, 1.0304, 332.67
2.8435, 0.2553, 242.08
3.9116, 1.5856, 137.58
1.0858, 1.3049, 128.01
2.2850, 0.3035, 58.50
4.5644, 0.9228, 119.19
3.4642, 0.1495, 4.17
4.8429, 0.8010, 244.75
1.9112, 1.7830, 189.34
2.4788, 1.7142, 333.32
1.7500, 0.7358, 349.94
4.0306, 1.5881, 262.26
3.8772, 1.7535, 113.02
4.8559, 1.1134, 201.24
4.0066, 1.7038, 103.77
1.6237, 1.4239, 140.58
0.5318, 0.1069, 97.30
4.7611, 0.9217, 263.08
0.6229, 1.8766, 15.98
4.0341, 0.8626, 90.53
2.5378, 1.4142, 36.58
3.4294, 1.6658, 265.11
2.8977, 0.0177, 331.00
2.3950, 0.7049, 315.11
4.0459, 0.4603, 176.97
4.6691, 1.3700, 330.78
4.2495, 0.5143, 292.50
2.8934, 1.0282, 205.40
2.1730, 1.1158, 253.35
1.8881, 1.4865, 49.71
1.6071, 0.3152, 96.87
0.7715, 1.9911, 168.05
2.6278, 1.8199, 189.10
1.2979, 1.7833, 308.89
0.0415, 1.8371, 266.06
4.6391, 1.9518, 304.33
2.8803, 0.9442, 36.74
1.8550, 0.7685, 206.71
1.5380, 0.0221, 182.20
1.7946, 1.8728, 243.02
2.9312, 0.0343, 219.75
4.7847, 1.0311, 206.25
4.8364, 1.3728, 103.48
4.2307, 0.2729, 98.35
2.7658, 0.7272, 274.17
3.8009, 0.0756, 327.11
4.5005, 0.8182, 131.78
0.4732, 1.1657, 184.46
2.6393, 0.3115, 131.92
0.6060, 0.9678, 209.40
0.4282, 1.9888, 331.46
3.9682, 1.6716, 14.91
4.5151, 0.3335, 176.75
3.6283, 0.4391, 17.76
0.3234, 1.9910, 192.39
3.1914, 0.2476, 116.65
0.4397, 0.5312, 234.33
0.0449, 1.2601, 258.62
3.7280, 1.7861, 226.12
2.7321, 0.5985, 109.65
0.0051, 0.8908, 11.14
1.0061, 1.6184, 131.66
1.4030, 0.7847, 286.33
1.1856, 0.5492, 316.86
2.8437, 1.3216, 258.85
1.2576, 0.8582, 259.05
3.3228, 1.4266, 307.17
4.4666, 0.9815, 102.11
3.2707, 0.3066, 57.24
0.9234, 1.7747, 311.43
2.2061, 0.1075, 11.99
3.5316, 0.5025, 84.68
0.3042, 0.6963, 46.65
1.7655, 1.6915, 102.55
0.1247, 1.3112, 194.05
2.9721, 0.9863, 346.41
4.9699, 0.7414, 144.46
0.7106, 1.5096, 21.27
2.0188, 0.1883, 179.91
0.3323, 0.0406, 4.82
4.0617, 1.5098, 350.64
1.5890, 1.2803, 8.39
3.8361, 0.8353, 359.44
1.4116, 1.1092, 295.68
3.7173, 1.4805, 297.03
0.1555, 0.0127, 10.73
3.5285, 1.3828, 197.40
0.6629, 0.2100, 80.91
1.3612, 0.8463, 284.74
4.9469, 0.8146, 117.70
3.5545, 0.3069, 48.44
2.1591, 0.3593, 40.31
0.4252, 1.3884, 327.06
3.0155, 1.4700, 174.78
2.6887, 1.4253, 79.06
4.0696, 1.8511, 65.43
2.9740, 1.2376, 334.04
3.2805, 1.9332, 196.87
0.3184, 1.4212, 269.54
1.0017, 0.6137, 276.30
4.6192, 1.3702, 189.57
1.1924, 1.4726, 183.26
4.4136, 0.9471, 3.92
3.2335, 1.9564, 345.48
0.3119, 0.4323, 301.19
3.3345, 0.8014, 138.80
2.5607, 0.2534, 73.05
3.0268, 1.8479, 348.81
0.4265, 0.9998, 245.81
0.3613, 0.3120, 30.00
1.0651, 0.4246, 303.32
1.0908, 0.9019, 96.29
0.2316, 0.4717, 76.97
1.9806, 0.2618, 128.07
1.0097, 0.4985, 228.52
2.5059, 1.7587, 119.76
1.0413, 1.9360, 73.77
0.4482, 1.2177, 216.91
2.3002, 1.1665, 177.15
4.4623, 0.4088, 38.32
4.3732, 0.0059, 141.95
0.7140, 1.2830, 105.76
2.3506, 1.2066, 113.02
4.0946, 0.6148, 37.45
1.2921, 1.6568, 212.00
4.0412, 0.1192, 208.24
1.1417, 1.1362, 346.56
3.6449, 1.9735, 2.15
3.0810, 0.0911, 78.67
3.2992, 0.6482, 39.56
1.8776, 0.5815, 26.80
0.2462, 0.7628, 75.46
0.3942, 0.9194, 281.54
2.4529, 1.6810, 192.38
3.8532, 0.3573, 176.29
2.7093, 0.8370, 7.48
1.3491, 1.5669, 286.32
4.1787, 1.1254, 18.76
0.0227, 0.8261, 99.14
1.9329, 1.2611, 74.02
4.3272, 0.1076, 348.04
2.8510, 0.4647, 190.81
2.9801, 0.1710, 282.10
1.3752, 1.0194, 224.16
0.6223, 1.0040, 24.14
2.0584, 0.5561, 298.92
1.8749, 1.3917, 150.91
1.5075, 0.0800, 341.97
0.3787, 0.1515, 190.16
0.9290, 1.3178, 234.39
3.9143, 1.2471, 246.49
0.8133, 1.4330, 306.95
4.3308, 1.5286, 349.15
2.5620, 0.6236, 146.08
2.3636, 1.8354, 313.44
4.3150, 1.8086, 276.01
0.9534, 0.4456, 218.55
1.4395, 1.8608, 150.98
1.3836, 0.6715, 116.44
2.9102, 1.4764, 162.90
1.3175, 1.2742, 212.56
0.0023, 1.2992, 118.55
0.9609, 0.9595, 273.81
2.1927, 1.5695, 42.08
3.6901, 0.7210, 314.34
3.2388, 1.2303, 168.12
3.5940, 1.8202, 322.54
0.7092, 0.5237, 130.36
1.2632, 0.4780, 280.54
4.3476, 0.7566, 231.23
4.1025, 0.1449, 305.19
